Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Ochsner Health System,LA,Healthcare Provider,2088.0,2012-02-20,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Motion Picture Industry Health Plans (MPI),CA,Health Plan,703.0,2012-02-15,2012,Theft,Theft,Other,No,Archived,2
Georgetown University Hospital,DC,Healthcare Provider,1549.0,2012-02-15,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
St. Joseph Health System,CA,Healthcare Provider,12234.0,2012-02-15,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Goshen Health System, Inc.",IN,Healthcare Provider,660.0,2012-02-14,2012,Hacking/IT Incident,Hacking/IT Incident,Other,No,Archived,0
Lakeview Medical Center,WI,Healthcare Provider,698.0,2012-02-14,2012,Theft,Theft,Laptop,No,Archived,4
"Medco Health Solutions, Inc.",NJ,Healthcare Provider,1287.0,2012-02-13,2012,Theft,Theft,Paper/Films,No,Archived,4
"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",NJ,Business Associate,1700.0,2012-02-08,2012,Other,Other,Other,Yes,Archived,3
Loma Linda University Medical Center (LLUMC),CA,Healthcare Provider,1366.0,2012-02-08,2012,Other,Other,Paper/Films,No,Archived,1
Accretive Health,IL,Business Associate,14000.0,2012-02-06,2012,Theft,Theft,Laptop,Yes,Archived,3
"Triumph, LLC",NC,Healthcare Provider,2000.0,2012-02-01,2012,Theft,Theft,Laptop,No,Archived,4
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,6678.0,2012-02-01,2012,Other,Other,Paper/Films,No,Archived,2
University of Miami,FL,Healthcare Provider,1219.0,2012-01-30,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
Metro Community Provider Network,CO,Healthcare Provider,3200.0,2012-01-27,2012,"Hacking/IT Incident, Other",Hacking/IT Incident,Email,No,Archived,0
Flex Physical Therapy,WA,Healthcare Provider,3100.0,2012-01-27,2012,Theft,Theft,Desktop Computer,No,Archived,4
St.Vincent Physician Network,IN,Healthcare Provider,1423.0,2012-01-26,2012,"Theft, Unauthorized Access/Disclosure",Theft,Paper/Films,No,Archived,4
"Oldendorf Medical Services, PLLC",NY,Healthcare Provider,549.0,2012-01-24,2012,Theft,Theft,Laptop,No,Archived,4
"ACS, Affiliated Computer Services, Inc., A Xerox Company",VA,Business Associate,1444.0,2012-01-23,2012,"Other, Unauthorized Access/Disclosure",Other,Paper/Films,Yes,Archived,3
Muskogee Regional Medical Center,OK,Health Plan,844.0,2012-01-20,2012,Loss,Loss,Other,No,Archived,2
Delta Dental of California,CA,Health Plan,11646.0,2012-01-19,2012,Other,Other,Paper/Films,No,Archived,2
Kansas Department on Aging,KS,Healthcare Provider,7757.0,2012-01-19,2012,Theft,Theft,Laptop,No,Archived,4
Foundation Medical Partners,NH,Healthcare Provider,771.0,2012-01-18,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Foundation Medical Partners,NH,Healthcare Provider,771.0,2012-01-16,2012,Theft,Theft,Paper/Films,No,Archived,4
"WageWorks, Inc.",CA,Business Associate,1700.0,2012-01-13,2012,Other,Other,Paper/Films,Yes,Archived,3
RightNow Technologies,MT,Business Associate,2700.0,2012-01-11,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
"CardioNet, Inc",PA,Healthcare Provider,1300.0,2012-01-10,2012,Theft,Theft,Laptop,No,Archived,4
Alamance Caswell Local Management Entity,NC,Business Associate,50000.0,2012-01-10,2012,"Other, Unauthorized Access/Disclosure",Other,"Email, Network Server",Yes,Archived,3
Smile Designs,FL,Healthcare Provider,1670.0,2012-01-06,2012,Theft,Theft,"Desktop Computer, Network Server",No,Archived,4
Sleep HealthCenters LLC,MA,Healthcare Provider,2988.0,2011-12-28,2011,Theft,Theft,Laptop,No,Archived,4
Concentra Health,TX,Healthcare Provider,870.0,2011-12-28,2011,Theft,Theft,Laptop,No,Archived,4
"Soundpath Health, Inc",WA,Health Plan,7581.0,2011-12-23,2011,Theft,Theft,Laptop,No,Archived,2
Aegis Sciences Corporation,TN,Healthcare Provider,2185.0,2011-12-21,2011,Theft,Theft,"Laptop, Other Portable Electronic Device",No,Archived,4
Molina Healthcare of California,CA,Health Plan,11081.0,2011-12-17,2011,Other,Other,Paper/Films,No,Archived,2
"Paul C. Brown, MD, PS",WA,Healthcare Provider,4693.0,2011-12-15,2011,Theft,Theft,Other,No,Archived,4
Roberts S. Smith M.D. Inc.,GA,Healthcare Provider,17000.0,2011-12-13,2011,Theft,Theft,Laptop,No,Archived,4
University of Nebraska Medical Center,NE,Healthcare Provider,611.0,2011-12-09,2011,Theft,Theft,Paper/Films,No,Archived,4
Nation Wise Machine Buyers,IL,Business Associate,2000.0,2011-12-09,2011,Improper Disposal,Improper Disposal,Paper/Films,Yes,Archived,3
Blue Vantage Group,NY,Business Associate,7226.0,2011-12-09,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
Rite Aid Corporation,PA,Healthcare Provider,2900.0,2011-12-07,2011,Other,Other,Paper/Films,No,Archived,1
Contra Costa Health Services,CA,Healthcare Provider,4700.0,2011-12-07,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
"Jay C. Platt, DDS",IN,Healthcare Provider,10705.0,2011-12-05,2011,Theft,Theft,Other,No,Archived,4
Cleveland Clinic Florida,FL,Healthcare Provider,772.0,2011-12-01,2011,Loss,Loss,Other,No,Archived,1
State of Tennessee Sponsored Group Health Plan,TN,Health Plan,1770.0,2011-11-28,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
University of Kentucky UK HealthCare,KY,Healthcare Provider,878.0,2011-11-23,2011,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Sitka Wellness Center,AK,Healthcare Provider,566.0,2011-11-22,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
Dallas County Hospital District dba Parkland Health & Hospital System,TX,Healthcare Provider,2464.0,2011-11-17,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No,Archived,1
Medcenter One,ND,Healthcare Provider,650.0,2011-11-17,2011,Theft,Theft,Laptop,No,Archived,4
Sutter Medical Foundation,AL,Healthcare Provider,943434.0,2011-11-17,2011,Theft,Theft,Desktop Computer,No,Archived,4
"Mid Continent Credit Services, Inc.",KS,Business Associate,8275.0,2011-11-14,2011,Theft,Theft,Other,Yes,Archived,3
"Amerigroup Community Care of New Mexico, Inc",NM,Health Plan,1537.0,2011-11-13,2011,Theft,Theft,Paper/Films,No,Archived,2
Logan County Emergeny Ambulance Service Authority,WV,Healthcare Provider,12563.0,2011-11-08,2011,"Loss, Theft",Loss,Laptop,No,Archived,1
UCLA Health System,CA,Healthcare Provider,2761.0,2011-11-04,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
Science Applications International Corporation (SA,VA,Business Associate,4900000.0,2011-11-04,2011,Loss,Loss,Other,Yes,Archived,3
St. Joseph Medical Center,MD,Healthcare Provider,5000.0,2011-11-03,2011,Theft,Theft,"Other, Paper/Films",No,Archived,4
Lebanon Internal Medicine Associates,PA,Healthcare Provider,55000.0,2011-11-02,2011,Improper Disposal,Improper Disposal,Network Server,No,Archived,1
"KCI USA, Inc.",TX,Healthcare Provider,567.0,2011-10-31,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
"Julie A. Kennedy, D.M.D., P.A.",FL,Healthcare Provider,2900.0,2011-10-31,2011,Theft,Theft,Network Server,No,Archived,4
Thresholds Inc.,MI,Business Associate,1100.0,2011-10-28,2011,Theft,Theft,Paper/Films,Yes,Archived,3
Premier Imaging,NC,Healthcare Provider,551.0,2011-10-28,2011,Unknown,Unknown,Paper/Films,No,Archived,1
"Pitney Bowes Management Services, Inc.",CT,Business Associate,1089.0,2011-10-28,2011,Theft,Theft,Desktop Computer,Yes,Archived,3
Morris Heights Health Center,NY,Healthcare Provider,927.0,2011-10-27,2011,Theft,Theft,Laptop,No,Archived,4
Indiana University School of Optometry,IN,Healthcare Provider,757.0,2011-10-25,2011,Theft,Theft,Network Server,No,Archived,4
"Brevard Emergency Services, P.A.",FL,Healthcare Provider,2200.0,2011-10-25,2011,Theft,Theft,Paper/Films,No,Archived,4
Stone Oak Urgent Care & Family Practice,TX,Business Associate,6672.0,2011-10-24,2011,"Loss, Theft",Loss,Desktop Computer,Yes,Archived,3
"HITS Scanning Solutions, Inc.",MO,Business Associate,7059.0,2011-10-22,2011,Theft,Theft,Other,Yes,Archived,3
Conway Regional Medical Center,AR,Healthcare Provider,1472.0,2011-10-21,2011,Loss,Loss,Other,No,Archived,1
"Spectrum Health Ssytems, Inc.",MA,Healthcare Provider,14750.0,2011-10-20,2011,Theft,Theft,Desktop Computer,No,Archived,4
Mutual of Omaha Insurance Co,NE,Health Plan,705.0,2011-10-18,2011,Theft,Theft,Other Portable Electronic Device,No,Archived,2
Lankenau Medical Center,PA,Healthcare Provider,500.0,2011-10-17,2011,Theft,Theft,Other,No,Archived,4
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,3150.0,2011-10-14,2011,Theft,Theft,Other,No,Archived,4
Florida Hospital,FL,Healthcare Provider,12784.0,2011-10-13,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
Futurity First Insurance Group,CT,Business Associate,3994.0,2011-10-11,2011,Theft,Theft,Other,Yes,Archived,3
Lahey Clinic,MA,Healthcare Provider,599.0,2011-10-11,2011,Theft,Theft,Laptop,No,Archived,4
"InStep Foot Clinic, P.A.",MN,Healthcare Provider,2600.0,2011-10-11,2011,Theft,Theft,"Electronic Medical Record, Laptop",No,Archived,4
"Adult & Pediatric Dermatology, PC",MA,Healthcare Provider,2200.0,2011-10-07,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
"Thomas J O'Laughlin, MD",CA,Business Associate,700.0,2011-10-07,2011,"Theft, Unauthorized Access/Disclosure",Theft,Paper/Films,Yes,Archived,3
The Nemours Foundation,FL,Healthcare Provider,1055489.0,2011-10-07,2011,Loss,Loss,Other,No,Archived,1
Indiana University,IN,Healthcare Provider,3266.0,2011-10-04,2011,Theft,Theft,Laptop,No,Archived,4
Futurity First Insurance Group,CT,Business Associate,1631.0,2011-10-03,2011,Loss,Loss,"Other, Other Portable Electronic Device",Yes,Archived,3
Henry Ford Health System,MI,Healthcare Provider,520.0,2011-10-03,2011,Theft,Theft,Desktop Computer,No,Archived,4
MAPFRE Life,PR,Health Plan,2209.0,2011-09-29,2011,Theft,Theft,"Desktop Computer, Other",No,Archived,2
FIRST PRIORITY LIFE INSURANCE COMPANY,PA,Business Associate,579.0,2011-09-28,2011,"Theft, Unauthorized Access/Disclosure",Theft,Paper/Films,Yes,Archived,3
"Summit Medical Group, PLLC",TN,Healthcare Provider,731.0,2011-09-28,2011,Theft,Theft,Paper/Films,No,Archived,4
Fairview Health Services,MN,Healthcare Provider,14623.0,2011-09-27,2011,Theft,Theft,Laptop,No,Archived,4
North Memorial Health Care,MN,Healthcare Provider,9497.0,2011-09-27,2011,Theft,Theft,Laptop,No,Archived,4
NYU Hospital for Joint Diseases Inventory Management Department,NY,Healthcare Provider,2600.0,2011-09-26,2011,Theft,Theft,Paper/Films,No,Archived,4
VA Illiana Health Care System,IL,Healthcare Provider,518.0,2011-09-23,2011,Loss,Loss,Paper/Films,No,Archived,1
"AllOne Health Management Solutions, Inc.",PA,Business Associate,507.0,2011-09-23,2011,"Theft, Unauthorized Access/Disclosure",Theft,"Laptop, Paper/Films",Yes,Archived,3
Health Texas Provider Network,TX,Healthcare Provider,1259.0,2011-09-23,2011,Theft,Theft,Laptop,No,Archived,4
"Benefits Administration Services, Inc.",VA,Business Associate,4000.0,2011-09-22,2011,Loss,Loss,"Other, Other Portable Electronic Device",Yes,Archived,3
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,Healthcare Provider,2367.0,2011-09-21,2011,Theft,Theft,"Desktop Computer, Laptop",No,Archived,4
VA Gulf Coast Veterans Health Care System,MS,Healthcare Provider,1797.0,2011-09-20,2011,Theft,Theft,Paper/Films,No,Archived,4
Freda J Bowman  MD PA,TX,Healthcare Provider,1300.0,2011-09-20,2011,"Hacking/IT Incident, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
"Diversified Resources, Inc.",GA,Healthcare Provider,863.0,2011-09-15,2011,Theft,Theft,Laptop,No,Archived,4
"John T. Melvin, M.D.& Associates",TX,Healthcare Provider,2541.0,2011-09-14,2011,Theft,Theft,Paper/Films,No,Archived,4
Living Healthy Community Clinic,WI,Business Associate,3000.0,2011-09-13,2011,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,Yes,Archived,3
Centro de Ortodoncia Inc.,PR,Healthcare Provider,2000.0,2011-09-13,2011,Theft,Theft,Paper/Films,No,Archived,4
Texas Health and Human Services Commission,TX,Health Plan,1696.0,2011-09-09,2011,Theft,Theft,Laptop,No,Archived,2
Jonathan Noel MD,IN,Healthcare Provider,2059.0,2011-09-08,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,Healthcare Provider,1800.0,2011-09-07,2011,Theft,Theft,Paper/Films,No,Archived,4
NEA Baptist Clinic,AR,Healthcare Provider,3116.0,2011-09-07,2011,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,Healthcare Provider,2000.0,2011-08-29,2011,Theft,Theft,"Desktop Computer, Network Server",No,Archived,4
"Multi-Speciality Collection Services, LLC",CA,Business Associate,19651.0,2011-08-29,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
"SpaMed Solutions, LLC, Edward McMenamin President,",NJ,Business Associate,3000.0,2011-08-28,2011,"Theft, Unauthorized Access/Disclosure",Theft,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",Yes,Archived,3
Lexington VAMC,KY,Healthcare Provider,1432.0,2011-08-25,2011,Theft,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No,Archived,4
Capron Rescue Squad District,IL,Healthcare Provider,815.0,2011-08-18,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Laptop,No,Archived,1
MedAssets,NJ,Business Associate,32008.0,2011-08-18,2011,Theft,Theft,"Other, Other Portable Electronic Device",Yes,Archived,3
Texas Health Partners,TX,Business Associate,10345.0,2011-08-17,2011,Theft,Theft,Laptop,Yes,Archived,3
Colorado Department of Health Care Policy and Financing,CO,Health Plan,3589.0,2011-08-16,2011,Loss,Loss,Other,No,Archived,2
The Neurological Institute of Savannah & Center for Spine,GA,Healthcare Provider,63425.0,2011-08-15,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
Accuprint,PR,Business Associate,5848.0,2011-08-15,2011,Theft,Theft,Other,Yes,Archived,3
Washington State Department of Social and Health Services,WA,Health Plan,3950.0,2011-08-09,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
Med Assets,NJ,Business Associate,8795.0,2011-08-08,2011,Theft,Theft,"Other, Other Portable Electronic Device",Yes,Archived,3
"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan",IN,Business Associate,506.0,2011-08-08,2011,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Brigham and Women's Hospital and Faulkner Hospital,MA,Healthcare Provider,638.0,2011-08-03,2011,Theft,Theft,Other Portable Electronic Device,No,Archived,4
Treatment Services Northwest,OR,Healthcare Provider,1200.0,2011-07-29,2011,Theft,Theft,Desktop Computer,No,Archived,4
Mills-Peninsula Health Services,CA,Healthcare Provider,1500.0,2011-07-29,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Health Care Service Corporation,IL,Health Plan,501.0,2011-07-28,2011,Theft,Theft,Paper/Films,No,Archived,2
"Austin Center for Therapy and Assessment, LLC",TX,Healthcare Provider,1870.0,2011-07-28,2011,Theft,Theft,Laptop,No,Archived,4
University of Kentucky - UK HealthCare,KY,Healthcare Provider,3604.0,2011-07-28,2011,Theft,Theft,Laptop,No,Archived,4
"Andersen Air Force Base, Guam",VA,Healthcare Provider,700.0,2011-07-22,2011,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
Windsor Health Plan,TN,Business Associate,1378.0,2011-07-22,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
"RxAmerica, a subsidiary of CVS Caremark",TX,Business Associate,4573.0,2011-07-22,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
"Assurecare Risk Management, Inc.",IL,Business Associate,25330.0,2011-07-21,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,2021.0,2011-07-19,2011,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Memorial Health Systems,CO,Healthcare Provider,2300.0,2011-07-15,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No,Archived,1
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,Healthcare Provider,7500.0,2011-07-15,2011,Theft,Theft,Paper/Films,No,Archived,4
Dr Axel Velez,PR,Healthcare Provider,2800.0,2011-07-13,2011,Theft,Theft,Desktop Computer,No,Archived,4
Lansing Community College,MI,Business Associate,5000.0,2011-07-11,2011,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Jackson Health System,FL,Healthcare Provider,1562.0,2011-07-08,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,Archived,1
Troy Regional Medical Center,AL,Healthcare Provider,880.0,2011-07-08,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
The Mount Sinai Hospital,NY,Healthcare Provider,712.0,2011-07-08,2011,Theft,Theft,Laptop,No,Archived,4
Yanez Dental Corporation,CA,Healthcare Provider,10190.0,2011-07-04,2011,Theft,Theft,"Desktop Computer, Network Server",No,Archived,4
Health Plan of San Mateo,CA,Health Plan,694.0,2011-06-29,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
Department of Personnel and Administration,CO,Business Associate,3589.0,2011-06-29,2011,Theft,Theft,Other,Yes,Archived,3
"Gail Gillespie and Associates, LLC",LA,Healthcare Provider,2000.0,2011-06-28,2011,Theft,Theft,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device",No,Archived,4
"Area Agency on Aging, Ohio District 5",OH,Business Associate,78042.0,2011-06-27,2011,Theft,Theft,Laptop,Yes,Archived,3
University of Missouri Health Care,MO,Healthcare Provider,1288.0,2011-06-23,2011,Unknown,Unknown,Paper/Films,No,Archived,1
"NOL, LLC d/b/a Premier Radiology",TN,Healthcare Provider,810.0,2011-06-22,2011,Theft,Theft,Laptop,No,Archived,4
"Advanced Diagnostic Imaging, P.C.",TN,Healthcare Provider,705.0,2011-06-22,2011,Theft,Theft,Laptop,No,Archived,4
Blue Cross and Blue Shield of Florida,FL,Health Plan,3463.0,2011-06-17,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,2
"Gene S. J. Liaw, MD. PS",WA,Healthcare Provider,1105.0,2011-06-17,2011,Theft,Theft,"Other, Other Portable Electronic Device",No,Archived,4
New River Health Association,WV,Healthcare Provider,950.0,2011-06-16,2011,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
